index,title,research_type,result_outcome,affiliation,problem_description,goal/objective,research_method,research_question,hypothesis,prediction,contribution,pseudocode,open_source_code,open_experiment_code,train,validation,test,results,hardware_specification,software_dependencies,third_party_citation,experiment_setup,evaluation_criteria,authors,link,comments,conference
23,On the Representation and Embedding of Knowledge Bases Beyond Binary Relations,E,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,"Jianfeng Wen, Jianxin Li, Yongyi Mao, Shini Chen and Richong Zhang",http://www.ijcai.org/Proceedings/16/Papers/188.pdf,,IJCAI 16
24,Improved Heuristic and Tie-Breaking for Optimally Solving Sokoban,E,1,0,1,0,0,0,0,0,0,0,0,0,,,1,1,1,0,0,1,1,"André Grahl Pereira, Robert Holte, Jonathan Schaeffer, Luciana Salete Buriol and Marcus Ritt",http://www.ijcai.org/Proceedings/16/Papers/100.pdf,,IJCAI 16
25,HIEDS: A Generic and Efficient Approach to Hierarchical Dataset Summarization,E,1,0,0,0,0,0,0,0,1,1,0,0,,,1,1,1,0,0,1,1,"Gong Cheng, Cheng Jin and Yuzhong Qu",http://www.ijcai.org/Proceedings/16/Papers/521.pdf,,IJCAI 16
26,Plan Recognition as Planning Revisited,E,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,"Shirin Sohrabi, Anton Riabov and Octavian Udrea",http://www.ijcai.org/Proceedings/16/Papers/461.pdf,,IJCAI 16
27,Fast Robust Non-Negative Matrix Factorization for Large-Scale Human Action Data Clustering,E,1,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,1,1,1,"De Wang, Feiping Nie and Heng Huang",http://www.ijcai.org/Proceedings/16/Papers/300.pdf,,IJCAI 16
28,DrMAD: Distilling Reverse-Mode Automatic Differentiation for Optimizing Hyperparameters of Deep Neural Networks,E,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,"Jie Fu, Hongyin Luo, Jiashi Feng, Kian Hsiang Low and Tat-Seng Chua",http://www.ijcai.org/Proceedings/16/Papers/211.pdf,,IJCAI 16
29,Predictive Collaborative Filtering with Side Information,E,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,"Feipeng Zhao, Min Xiao, Yuhong Guo",http://www.ijcai.org/Proceedings/16/Papers/340.pdf,,IJCAI 16
30,Learning Possibilistic Logic Theories from Default Rules,E,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,"Ondřej Kuželka, Jesse Davis and Steven Schockaert",http://www.ijcai.org/Proceedings/16/Papers/169.pdf,,IJCAI 16
31,Urban Water Quality Prediction based on Multi-task Multi-view Learning,E,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"Ye Liu, Yu Zheng, Yuxuan Liang, Shuming Liu and David Rosenblum",http://www.ijcai.org/Proceedings/16/Papers/366.pdf,,IJCAI 16
32,Derivative-Free Optimization of High-Dimensional Non-Convex Functions by Sequential Random Embeddings,E,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,"Hong Qian, Yi-Qi Hu and Yang Yu",http://www.ijcai.org/Proceedings/16/Papers/278.pdf,,IJCAI 16
33,Theoretically-Grounded Policy Advice from Multiple Teachers in Reinforcement Learning Settings with Applications to Negative Transfer,E,1,0,0,0,0,0,0,0,1,1,0,0,,,0,0,0,0,0,1,0,"Yusen Zhan, Haitham Bou Ammar and Matthew Taylor",http://www.ijcai.org/Proceedings/16/Papers/330.pdf,,IJCAI 16
34,Completion of Disjunctive Logic Programs,E,1,0,1,0,0,0,0,0,1,0,0,0,,,0,0,1,0,1,1,1,Mario Alviano and Carmine Dodaro,http://www.ijcai.org/Proceedings/16/Papers/130.pdf,,IJCAI 16
35,Chinese Song Iambics Generation with Neural Attention-based Model,E,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Qixin Wang, Tianyi Luo, Dong Wang and Chao Xing",http://www.ijcai.org/Proceedings/16/Papers/418.pdf,,IJCAI 16
36,Neural Enquirer: Learning to Query Tables in Natural Language,E,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,1,1,"Pengcheng Yin, Zhengdong Lu, Hang Li and Ben Kao",http://www.ijcai.org/Proceedings/16/Papers/329.pdf,,IJCAI 16
37,Match-SRNN: Modeling the Recursive Matching Structure with Spatial RNN,E,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,"Shengxian Wan, Yanyan Lan, Jun Xu, Jiafeng Guo and Xueqi Cheng",http://www.ijcai.org/Proceedings/16/Papers/415.pdf,,IJCAI 16
38,On Logics of Strategic Ability based on Propositional Control,T,1,0,0,0,0,0,1,0,1,,,,,,,,,,,,,Francesco Belardinelli and Andreas Herzig,http://www.ijcai.org/Proceedings/16/Papers/021.pdf,,IJCAI 16
39,Robust Out-of-Sample Data Recovery,E,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"Bo Jiang, Chris Ding and Bin Luo",http://www.ijcai.org/Proceedings/16/Papers/234.pdf,,IJCAI 16
40,Distributed Breakout: Beyond Satisfaction,E,1,0,0,0,0,0,0,0,1,1,0,0,,,0,0,0,0,0,1,1,"Steven Okamoto, Roie Zivan and Aviv Nahon",http://www.ijcai.org/Proceedings/16/Papers/070.pdf,,IJCAI 16
41,Partially Supervised Graph Embedding for Positive Unlabelled Feature Selection,E,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,Yufei Han and Yun Shen,http://www.ijcai.org/Proceedings/16/Papers/222.pdf,,IJCAI 16
